Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date
169955,"Phòng 5 tr/tg. Dc 269 nguyễn thái bình bình, p4, Quận tân bình",5.0,25.0,Tân Bình,Hồ Chí Minh,2024-09-20
151366,"PHÒNG SẠCH THOÁNG, SÂN RỘNG MÁT, LỐI ĐI RIÊNG 1.5 TR , DÀNH CHO SINH VIÊN, NGƯỜI ĐỘC THÂN",1.5,12.0,Tân Bình,Hồ Chí Minh,2024-09-20
129967,"Cho thuê phòng trọ dạng chung cư mini máy lạnh q8 gần đại lộ Đông Tây,q5,q6",1.8,18.0,Quận 8,Hồ Chí Minh,2024-09-20
169844,"Cho thuê CHDV 25-30m2 nội thất cao cấp, ban công mặt tiền Trần Thị Nghỉ",5.5,25.0,Gò Vấp,Hồ Chí Minh,2024-09-19
168697,Cho thuê phòng có nội thất  giá rẻ gần chợ Tân Định Quận 1,5.5,30.0,Quận 1,Hồ Chí Minh,2024-09-19
169237,"Phòng siêu đẹp có ban công 205/41/34 Phạm Văn Chiêu, P. 14, Q. Gò Vấp (Khoá vân tay, Máy giặt)",2.9,20.0,Gò Vấp,Hồ Chí Minh,2024-09-18
169537,"Phòng đẹp như căn hộ studio đủ nội thất có gác lửng thông hẻm 69 đường D2, P. 25, Q. Bình Thạnh",4.2,25.0,Bình Thạnh,Hồ Chí Minh,2024-09-18
158081,"Cho thuê phòng trọ Quận 1 gần Chợ Tân Định, có cửa sổ, giờ giấc tự do, FREE chỗ gửi xe",3.5,18.0,Quận 1,Hồ Chí Minh,2024-09-18
167125,"Cho thuê phòng Q.4 gần Đại Học Luật, phòng trống, vào ở ngay",3.5,40.0,Quận 4,Hồ Chí Minh,2024-09-17
169949,Cho thuê phòng trọ riêng biệt 24m2 gần vòng xoay An Lạc,2.2,24.0,Bình Tân,Hồ Chí Minh,2024-09-17
147202,Phòng trọ Tân Bình giá rẻ từ 2tr300 đến 2tr700,2.3,20.0,Tân Bình,Hồ Chí Minh,2024-09-17
169950,"Cho thuê phòng trọ Phường 3, Quận Gò Vấp",1.9,15.0,Gò Vấp,Hồ Chí Minh,2024-09-17
169895,Phòng trọ cho thuê ở Quận ưu tiên NVVP-10m2,1.5,10.0,Quận 3,Hồ Chí Minh,2024-09-16
157413,cho nữ thuê phòng quận 10 (giá 2.5tr/ tháng/ 3 người),2.5,21.0,Quận 10,Hồ Chí Minh,2024-09-16
169946,"🏠 🏠 🏠  Phòng trọ dạng Studio FULL NT cao cấp ngay ngã tư Hàng Xanh, Bình Thạnh",6.5,35.0,Bình Thạnh,Hồ Chí Minh,2024-09-15
166635,"Phòng trọ sinh viên, học tập và nghiên cứu",2.4,11.0,Quận 5,Hồ Chí Minh,2024-09-15
169944,Cho thuê phòng trọ 1tr7-3tr hẻm 184/2 Lê Đình Cẩn có gác lửng gần chợ,2.5,12.0,Bình Tân,Hồ Chí Minh,2024-09-15
156720,Phòng mặt tiền 363 phạm văn bạch f15 tb,2.3,18.0,Tân Bình,Hồ Chí Minh,2024-09-14
169921,"Phòng 3.6 tr/tg. Dc 70/5 trần tuấn khải, p5, q5",3.6,16.0,Quận 5,Hồ Chí Minh,2024-09-12
169881,"Cho thuê phòng trọ, sạch sẽ, an ninh",2.8,20.0,Tân Phú,Hồ Chí Minh,2024-09-12
153311,"Phòng sạch đẹp, wc và lối đi riêng, giá 2.000.000 - 3.600.000/ tháng",3.0,18.0,Quận 10,Hồ Chí Minh,2024-09-11
169364,"Phòng 18m2 có toilet riêng giờ tự do Q10, Tô Hiến Thành",3.2,18.0,Quận 10,Hồ Chí Minh,2024-09-11
169723,"Phòng 18m2 máy lạnh,cửa sổ thoáng mát, giờ giấc tự do cho thuê 2,8tr/th,",2.8,18.0,Tân Bình,Hồ Chí Minh,2024-09-11
169373,"Phòng Đẹp 68A Phan Đăng Lưu, P.5, Q.Phú Nhuận (có Thang Máy, Khoá vân tay, Máy giặt )",3.0,20.0,Phú Nhuận,Hồ Chí Minh,2024-09-11
169922,"Phòng mới có gác, nội thất, thoáng mát. Nguyễn Kiệm, Gò Vấp",3.5,20.0,Gò Vấp,Hồ Chí Minh,2024-09-11
169365,"Phòng 35m2 Tô Hiến Thành Q10 có cửa sổ ban công, máy lạnh giờ tự do",6.8,35.0,Quận 10,Hồ Chí Minh,2024-09-11
169945,"Phòng 18m2 máy lạnh,cửa sổ thoáng mát, giờ giấc tự do cho thuê 2,8tr/th",2.8,18.0,Tân Bình,Hồ Chí Minh,2024-09-11
126575,"CHO THUÊ PHÒNG TRỌ CAO CẤP, GẦN AEON Mall Tân Phú, XEM HÌNH",2.7,28.0,Tân Phú,Hồ Chí Minh,2024-09-10
169943,cho thuê  Studio mới 100% sư vạn hạnh- khu cx bắc hải Q10 . full nội thất như hình : 8.700.000 đồng/tháng,8.7,45.0,Quận 10,Hồ Chí Minh,2024-09-10
169942,"Cho thuê phòng trọ Full NT _ 20M2 Thạnh Mỹ Lợi , Quận 2 , ngay UBND TP Thủ Đức, giáp đảo kim cương",4.5,20.0,Quận 2,Hồ Chí Minh,2024-09-10
169197,"Cho nữ thuê phòng để ở, 30m2, 59 Phùng Văn Cung, P.2, Phú Nhuận, Tp.HCM",3.5,30.0,Phú Nhuận,Hồ Chí Minh,2024-09-09
169460,"Phòng đẹp cửa sổ, Máy Lạnh thoáng mát 21/1 Trường Sơn, P.4, Q.Tân Bình  (Gần Sân Bay)",2.8,20.0,Tân Bình,Hồ Chí Minh,2024-09-08
160836,CHO THUÊ PHÒNG TRỌ GIÁ RẺ Năm 2024,2.0,20.0,Quận 8,Hồ Chí Minh,2024-09-08
169737,"Cho thuê phòng trọ Studio cao cấp, đường Nguyễn trãi , Quận 5. Giá rẻ.. Full Nội thất",8.0,35.0,Quận 5,Hồ Chí Minh,2024-09-07
169938,"CHO THUÊ PHÒNG ĐẦY ĐỦ NỘI THẤT TẠI TÂN BÌNH, GẦN CV GIA ĐỊNH, SÂN BAY",5.8,35.0,Tân Bình,Hồ Chí Minh,2024-09-07
169937,"Phòng trọ dành cho nữ, phòng mới, sạch đẹp thoáng mát tại đường Dương Quảng Hàm",3.5,28.0,Gò Vấp,Hồ Chí Minh,2024-09-07
169236,"PHÒNG CĂN HỘ MINI 1Phòng Ngủ, PK, 7A/9 THÀNH THÁI, P.14, Q.10 - DT: 30m2 – (VIEW Đẹp Mặt Tiền nhà)",4.5,30.0,Quận 10,Hồ Chí Minh,2024-09-07
169850,"Cho thuê phòng trọ đường Nguyễn Trãi, Quận 5. Giá rẻ. Full nội thất cao cấp",9.0,40.0,Quận 5,Hồ Chí Minh,2024-09-07
156724,Cho thuê phòng 350/1 nguyễn văn lượng f16 gò vấp,2.6,20.0,Gò Vấp,Hồ Chí Minh,2024-09-07
161098,"Phòng trọ bùng binh Ngô Gia Tự - Lý Thái Tổ, Q10, cho thuê giờ tự do",2.5,15.0,Quận 10,Hồ Chí Minh,2024-09-06
169932,"Phòng trọ giá rẻ ngay chợ Hiệp Bình, gần siêu thị Gigamall Thủ Đức",2.5,27.0,Thủ Đức,Hồ Chí Minh,2024-09-06
169702,"Phòng ban công, thoáng mát, có nội thất. Đối diện Emart Phan Văn Trị",3.2,20.0,Gò Vấp,Hồ Chí Minh,2024-09-06
169933,Mình trống phòng đầu tháng 10 ở Đỗ Xuân Hợp - Ngã tư Bình Thái,3.4,19.0,Quận 9,Hồ Chí Minh,2024-09-06
169298,"Phòng 18m2 Hồ Văn Huê, Phú Nhuận có nội thất giờ tự do 3.2tr",3.2,18.0,Phú Nhuận,Hồ Chí Minh,2024-09-06
169931,"Thuê phòng đẹp ngay Ung Văn Khiêm - Nguyễn Gia Trí, gần trường Đh GTVT, Hutech, ĐH ngoại thương",5.5,35.0,Bình Thạnh,Hồ Chí Minh,2024-09-06
169934,"Phòng MỚI KHAI TRƯƠNG - Ngay Sư Phạm Kỹ Thuật, Giao Thông Vận Tải, FPT, HUTECH",1.7,20.0,Quận 9,Hồ Chí Minh,2024-09-06
162261,"1TR7 CHO THUÊ PHÒNG TRỌ - KÝ TÚC XÁ QUẬN 10,5",1.7,50.0,Quận 5,Hồ Chí Minh,2024-09-05
169897,"Thuê phòng trọ cao cấp dạng studio Full Nội thất - ngã 4 Hàng Xanh, Bình Thạnh",6.5,35.0,Bình Thạnh,Hồ Chí Minh,2024-09-05
164779,"Phòng mới hoàn thiện, mới, nội thất. Sát ngay ngã 5 Chuồng Chó",2.5,20.0,Gò Vấp,Hồ Chí Minh,2024-09-04
156722,Phòng cho thuê hoàng thân 662/17 sư vạn hạnh f12.q10,5.5,45.0,Quận 10,Hồ Chí Minh,2024-09-04
169773,Cho thuê phòng trọ sạch đẹp có sân thượng thoáng mát gần bến xe siêu thị chợ,2.8,20.0,Bình Thạnh,Hồ Chí Minh,2024-09-04
156803,"Phòng MINI giá rẻ, thoáng mát, an ninh. Trung tâm Phú Nhuận",2.8,20.0,Phú Nhuận,Hồ Chí Minh,2024-09-04
