Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date
610,"Cho thuê nhà trọ số 43/2A1 Tăng Nhơn Phú A, Quận 9",,20.0,Quận 9,Hồ Chí Minh,2014-12-12
1401,cho thuê phòng trọ,1.0,8.0,Quận 8,Hồ Chí Minh,2015-03-30
2819,"Cho thuê phòng trọ 25m2 , 2.500.000",2.5,25.0,Tân Bình,Hồ Chí Minh,2016-04-23
2847,CHO THUÊ VĂN PHÒNG VÀ PHÒNG TRỌ GIÁ RẺ .ĐẸP .NHÀ MỚI XÂY,1.5,23.0,Tân Phú,Hồ Chí Minh,2016-07-23
3049,Phòng cho thuê.Chính Chủ.Quận Bình Thạnh.Tp.Hồ Chí minh,3.0,25.0,Bình Thạnh,Hồ Chí Minh,2017-10-08
3532,Cho thuê phòng đủ tiện nghi trong biệt thự yên tĩnh lịch sự,2.8,25.0,Gò Vấp,Hồ Chí Minh,2016-03-22
3711,cho thuê phòng trọ quận 4,,15.0,Quận 4,Hồ Chí Minh,2016-05-02
4828,Cho Thuê Phòng Lầu 2.,2.0,20.0,Quận 10,Hồ Chí Minh,2019-08-06
4961,CHO THUÊ PHÒNG TRỌ QUẬN TÂN BÌNH,2.0,25.0,Tân Bình,Hồ Chí Minh,2015-08-13
5730,Phòng trọ q8 cách cầu Nguyễn Văn Cừ 200m,2.5,14.0,Quận 8,Hồ Chí Minh,2017-06-20
5832,Phòng cho thuê giá rẻ tiện nghi,1.5,25.0,Quận 12,Hồ Chí Minh,2015-03-10
6574,"Cho nữ thuê phòng chung cư Phú Thạnh,Tân Phú",2.2,60.0,Tân Phú,Hồ Chí Minh,2017-05-10
6691,"Cho Thuê phòng mới xây, an ninh quận Tân Bình, gần ETown Cộng Hòa, THPT Nguyễn Khuyến",2.0,15.0,Tân Bình,Hồ Chí Minh,2015-04-26
6899,NHÀ TRỌ 15 GẦN KHU CNC CÓ PHÒNG TRỐNG CHO THUÊ,1.2,12.0,Quận 9,Hồ Chí Minh,2021-10-24
6981,"Hot, cho thuê phòng trọ chính chủ giá rẻ tại Hồ Chí Minh Quận 5, chỉ với 2 triệu",2.5,20.0,Quận 5,Hồ Chí Minh,2023-08-01
7479,Cho thuê phòng trọ cao cấp,,14.0,Bình Thạnh,Hồ Chí Minh,2016-05-04
7680,"Cho thuê phòng gần Đại Học Công Nghiệp, chợ Gò Vấp",1.8,13.0,Gò Vấp,Hồ Chí Minh,2015-06-04
8027,"Phòng mới, trệt và gác, WCriêng, bếp 1,3tr, 2,Triệu/th, P26 Quận BìnhThạnh, giờ tự do, ở 4 người",2.0,24.0,Bình Thạnh,Hồ Chí Minh,2016-12-28
9499,"Cho thuê phòng trọ mặt tiền Bùi Thị Xuân, Q. Tân Bình",1.6,13.0,Tân Bình,Hồ Chí Minh,2014-10-08
9747,"Cho thuê phòng trọ sạch đẹp có sân thượng thoáng mát,",2.8,20.0,Bình Thạnh,Hồ Chí Minh,2022-02-13
11119,cho thue phong tro Tan Binh,1.8,20.0,Tân Bình,Hồ Chí Minh,2017-05-06
11125,"CHO THUÊ PHÒNG TRỌ . SỐ 247/20 BÌNH LỢI ,P13 BÌNH THẠNH",2.0,25.0,Bình Thạnh,Hồ Chí Minh,2016-09-16
11478,Cho thuê phòng trọ Thủ Đức 1.2tr/ tháng - A Quyền 0987942782,1.2,20.0,Thủ Đức,Hồ Chí Minh,2016-03-21
12937,Phòng cho thuê,1.8,14.0,Bình Thạnh,Hồ Chí Minh,2015-06-22
13668,cho thuê phòng trọ quận 10,2.5,18.0,Quận 10,Hồ Chí Minh,2014-10-10
15198,"Cho nữ thuê phòng, nhà mới xây, bao điện nước, internet, truyền hình cáp",2.6,25.0,Quận 11,Hồ Chí Minh,2017-04-08
15322,quận 1 cho thuê phòng giá rẻ,4.5,15.0,Quận 1,Hồ Chí Minh,2014-11-05
16261,"Cho thuê nguyên lầu Vườn Chuối, 33m2 /2,3 người 5triệu, bếp, máy giặt, máy tắm nóng,...",5.0,33.0,Quận 3,Hồ Chí Minh,2014-10-20
16331,"Cho thue phong gia re, 500-600 ngan/nguoi",,70.0,Quận 10,Hồ Chí Minh,2014-11-26
17392,"PHÒNG TRỌ TIỆN NGHI, VỊ TRÍ TỐT. - QUẬN 12",1.6,26.0,Quận 12,Hồ Chí Minh,2015-07-06
18576,"Cho thuê phòng 25m2 trong nhà 4 tầng, đẹp, rộng rãi,đầy đủ tiện nghi gần sân bay TSN",3.5,25.0,Tân Bình,Hồ Chí Minh,2018-03-15
19352,CHO NỮ THUÊ PHÒNG RỘNG ĐỐI DIỆN VINCOM QUANG TRUNG KHU TRUNG TÂM QUẬN GÒ VẤP,,50.0,Gò Vấp,Hồ Chí Minh,2016-08-23
20397,Phòng đẹp cho thuê Hoàng Hoa Thám - Bình Thạnh,2.8,24.0,Bình Thạnh,Hồ Chí Minh,2015-09-07
21718,"Cho thuê phòng trọ tại Nhơn Đức, Nhà Bè",1.2,24.0,Quận 7,Hồ Chí Minh,2016-03-16
21902,"Cho thuê phòng trò quận 1 giá rẻ, gần Bệnh Viên Ngọc Lan",4.5,15.0,Quận 1,Hồ Chí Minh,2014-11-05
22174,"Cho thuê phòng rộng rãi, giá rẽ",,20.0,Quận 11,Hồ Chí Minh,2014-10-24
22797,"Phòng rộng thoáng mát cho NỮ thuê đường Huỳnh Văn Bánh, Q.Phú Nhuận",2.5,15.0,Phú Nhuận,Hồ Chí Minh,2015-04-08
23172,"Cho thuê phòng trọ gần sân bay, Tân Bình, giá 2tr/tháng, giờ giấc tự do",2.1,16.0,Tân Bình,Hồ Chí Minh,2015-06-08
24258,Cho thuê phòng trọ giá rẻ,1.3,6.0,Tân Bình,Hồ Chí Minh,2016-05-06
26157,Cho nữ thuê phòng trọ,1.2,10.0,Quận 1,Hồ Chí Minh,2016-11-05
27934,"Cho thuê phòng VIP giá rẻ Bình Thạnh, Bến xe Miền Đông",2.0,18.0,Bình Thạnh,Hồ Chí Minh,2017-01-06
28267,PHÒNG MỚI ĐẸP KHU AN NINH,2.5,21.0,Phú Nhuận,Hồ Chí Minh,2016-06-04
28319,"Cho Thuê Phòng Nguyên Căn , sạch sẽ , thoáng mát...",1.3,9.0,Quận 10,Hồ Chí Minh,2017-04-03
29069,PHÒNG ĐẸP TRUNG TÂM QUẬN 3,3.2,20.0,Quận 3,Hồ Chí Minh,2016-03-25
29715,"PHÒNG CHO NỮ THUÊ CHUNG CƯ ĐOÀN VĂN BƠ, PHƯỜNG 12, QUẬN 4.  SÁT QUẬN 1. Ưu tiên người đi làm.",2.2,17.0,Quận 4,Hồ Chí Minh,2014-12-21
30276,PHÒNG CHO THUÊ - QUẬN GÒ VẤP - TRỰC TIẾP VỚI CHỦ NHÀ - Giá 1.3 triệu/tháng,1.000003,15.0,Gò Vấp,Hồ Chí Minh,2015-08-13
31094,"Cho thuê phòng giá rẻ 1tr6 đ, Nguyễn Ảnh Thủ, Sthi Coopmart Q.12  trườngGTVT Trung Chánh",1.6,25.0,Hóc Môn,Hồ Chí Minh,2017-03-11
31387,CHO THUÊ PHÒNG TRỌ BÌNH DÂN DÀNH CHO GIA ĐÌNH VÀ SINH VIÊN,1.6,24.0,Thủ Đức,Hồ Chí Minh,2022-09-28
31769,"TÂN BÌNH, Gò Vấp cho thuê phòng",2.0,25.0,Tân Bình,Hồ Chí Minh,2019-02-17
32054,"Phòng trọ thoáng mát, sạch sẽ, ở chung với chủ",1.8,15.0,Phú Nhuận,Hồ Chí Minh,2019-10-10
33209,Cho thuê phòng trọ mới xây,2.5,26.0,Quận 7,Hồ Chí Minh,2014-12-24
33268,"CHO THUÊ PHÒNG 2.200.000 VNĐ, đường Trần Khắc Chân Q1,TPHCM.",2.2,20.0,Quận 1,Hồ Chí Minh,2015-06-02
33382,CHO THUÊ PHÒNG TRỌ MỚI XÂY 163 tân sơn F15 QTB,1.8,19.0,Tân Bình,Hồ Chí Minh,2015-04-09
33562,"Cho thuê phòng trọ ở 109 Dương Bá Trạc P.1, Q.8",3.0,20.0,Quận 8,Hồ Chí Minh,2017-01-06
34926,Phòng trọ cho thuê đường Cộng Hòa Tân Bình,1.8,16.0,Tân Bình,Hồ Chí Minh,2017-04-29
35281,Cho thuê phòng Trần Bình Trọng P3 Q5,4.2,20.0,Quận 5,Hồ Chí Minh,2019-10-12
36367,"Cho thuê phòng 28m2, giá rẻ, wifi đầy đủ (Chợ AN NHƠN-GÒ VẤP)",1.5,28.0,Gò Vấp,Hồ Chí Minh,2014-12-11
36502,Cho thue phong 2tr/1th Binh Thanh,2.0,12.0,Bình Thạnh,Hồ Chí Minh,2015-04-11
36798,"Cho thuê phòng giá rẻ, khu an ninh, sạch sẽ, có wifi cáp quang",1.0,9.0,Tân Bình,Hồ Chí Minh,2015-03-28
37331,"Phòng trọ yên tỉnh, thoáng mát, sạch đẹp.",1.6,15.0,Tân Bình,Hồ Chí Minh,2016-11-13
37577,"Phòng ĐẸP-5''-;ETOWN, CELADON CITY, PANDORA CITY, DHCN THUC PHAM",1.5,16.0,Tân Phú,Hồ Chí Minh,2015-11-01
38462,Phòng Cho Thuê Đủ Tiện Nghi.Giáp Quận 1. Có Bếp. Bảo Vệ. Giờ Giấc Tự Do.Dt20m2. Giá 5tr,5.0,20.0,Bình Thạnh,Hồ Chí Minh,2019-12-18
38586,"AN CƯ 2tr/phòng,có gác rộng, toilet, bancon, chợ Tân Sơn Nhất, s. bay và c.viên Gia Định, nấu ăn",2.2,20.0,Gò Vấp,Hồ Chí Minh,2016-12-09
38699,Cho thuê phòng trọ đường Tân Sơn (Q.Tân Bình),,15.0,Tân Bình,Hồ Chí Minh,2014-11-13
38849,Cho Thuê Phòng (Nữ),1.0,12.0,Bình Thạnh,Hồ Chí Minh,2016-05-03
39162,CHO THUÊ PHÒNG TRỌ NHÂN VIÊN VĂN PHÒNG NỮ GIÁ RẺ,2.5,25.0,Bình Thạnh,Hồ Chí Minh,2017-12-28
39480,Cho Nữ thuê phòng 900k rộng 20m2 tại Quận Gò Vấp,,20.0,Gò Vấp,Hồ Chí Minh,2015-01-21
39604,"Cho thuê phòng trọ, gần trường đại học, an ninh, chính chủ tại quận 8",1.8,12.0,Quận 8,Hồ Chí Minh,2023-05-19
40817,phòng cho thuê giá rẽ giờ tự do .không chung chủ .,,20.0,Bình Thạnh,Hồ Chí Minh,2016-03-07
41397,"Phong cho thue moi, dep quan 7 2.2 tr",2.2,25.0,Quận 7,Hồ Chí Minh,2017-08-01
